Time (sec),500 nM IL-6,750 nM IL-6,1 uM IL-6,500 nM HSA,750 nM HSA,1 uM HSA
357,-0.1081625,0.1767975,0.270889167,-0.183244167,-0.1674425,-0.185239167
360,-0.107816667,0.176535,0.271138333,-0.181089167,-0.166339167,-0.184309167
363,-0.106543333,0.176880833,0.269921667,-0.179481667,-0.16503,-0.183910833
366,-0.105940833,0.1772275,0.268510833,-0.178230833,-0.164395,-0.184088333
369,-0.106170833,0.1769075,0.267916667,-0.177095833,-0.1631025,-0.183874167
372,-0.106558333,0.176599167,0.2680775,-0.177210833,-0.162344167,-0.183663333
375,-0.10657,0.174858333,0.267411667,-0.176958333,-0.161609167,-0.184339167
378,-0.105409167,0.17407,0.267391667,-0.176445833,-0.1596825,-0.184775833
381,-0.104365833,0.174880833,0.2665325,-0.174816667,-0.158821667,-0.186615833
384,-0.103745833,0.175845,0.266444167,-0.175110833,-0.1574525,-0.187574167
387,-0.1028225,0.175234167,0.2642525,-0.175485833,-0.1573175,-0.188306667
390,-0.10211,0.176595833,0.261959167,-0.175856667,-0.15688,-0.188914167
393,-0.101621667,0.175625,0.261428333,-0.175878333,-0.1564375,-0.189524167
396,-0.101516667,0.175174167,0.26117,-0.174283333,-0.1554925,-0.18936
399,-0.103475,0.174624167,0.260146667,-0.173386667,-0.1542875,-0.189423333
402,-0.103795833,0.174725,0.26019,-0.1711075,-0.153264167,-0.189763333
405,-0.10425,0.174515833,0.259565,-0.169445,-0.153184167,-0.189634167
408,-0.103529167,0.175055,0.258943333,-0.1681475,-0.1524325,-0.189615
411,-0.105255,0.173775833,0.2584325,-0.168368333,-0.153026667,-0.189665
414,-0.104450833,0.173433333,0.257516667,-0.167085,-0.152363333,-0.189620833
417,-0.104545833,0.1725525,0.258600833,-0.166376667,-0.150786667,-0.190493333
420,-0.104338333,0.1721075,0.257945,-0.166171667,-0.15042,-0.190311667
423,-0.104929167,0.171853333,0.258135,-0.164576667,-0.14962,-0.190046667
426,-0.105045833,0.1708175,0.257685,-0.1647425,-0.1487225,-0.190409167
429,-0.1050125,0.171355,0.257458333,-0.164076667,-0.148808333,-0.1909075
432,-0.105898333,0.171275,0.256701667,-0.1649825,-0.148736667,-0.191513333
435,-0.106153333,0.170991667,0.256420833,-0.164956667,-0.148834167,-0.192825833
438,-0.107818333,0.171225,0.255328333,-0.164065833,-0.149924167,-0.193056667
441,-0.106645833,0.171414167,0.2547925,-0.1635,-0.149364167,-0.193379167
444,-0.106749167,0.172159167,0.254505,-0.163446667,-0.14988,-0.194269167
